team,count,runner_up_probability
Spain,10853,0.10853
Argentina,8341,0.08341
France,6979,0.06979
England,6127,0.06127
Brazil,5919,0.05919
Portugal,5055,0.05055
Colombia,5042,0.05042
Germany,5038,0.05038
Belgium,4067,0.04067
Switzerland,3823,0.03823
Netherlands,3775,0.03775
Norway,3713,0.03713
Mexico,3212,0.03212
Uruguay,3097,0.03097
Ecuador,2714,0.02714
Japan,2495,0.02495
Morocco,2120,0.0212
United States,1702,0.01702
South Korea,1642,0.01642
Turkey,1608,0.01608
Austria,1605,0.01605
Croatia,1249,0.01249
Paraguay,1193,0.01193
Canada,1132,0.01132
Scotland,884,0.00884
Senegal,868,0.00868
Czechia,744,0.00744
Iran,739,0.00739
Sweden,699,0.00699
Australia,699,0.00699
Algeria,626,0.00626
Ivory Coast,438,0.00438
Egypt,438,0.00438
Panama,224,0.00224
Uzbekistan,221,0.00221
Tunisia,147,0.00147
Jordan,127,0.00127
New Zealand,126,0.00126
Saudi Arabia,125,0.00125
South Africa,113,0.00113
Iraq,72,0.00072
Congo DR,61,0.00061
Ghana,48,0.00048
Bosnia and Herzegovina,34,0.00034
Qatar,29,0.00029
Haiti,26,0.00026
Cabo Verde,7,7e-05
Curacao,4,4e-05
