team,count,final_probability
Spain,32293,0.32293
Argentina,20183,0.20183
France,15566,0.15566
England,12741,0.12741
Brazil,12660,0.1266
Germany,10075,0.10075
Colombia,9581,0.09581
Portugal,9325,0.09325
Belgium,7380,0.0738
Netherlands,7298,0.07298
Norway,6654,0.06654
Switzerland,6526,0.06526
Mexico,5575,0.05575
Uruguay,5261,0.05261
Ecuador,4448,0.04448
Japan,4349,0.04349
Morocco,3437,0.03437
United States,2750,0.0275
South Korea,2641,0.02641
Turkey,2603,0.02603
Austria,2513,0.02513
Croatia,1828,0.01828
Paraguay,1807,0.01807
Canada,1722,0.01722
Scotland,1343,0.01343
Senegal,1271,0.01271
Sweden,1075,0.01075
Iran,1064,0.01064
Czechia,1052,0.01052
Australia,1037,0.01037
Algeria,929,0.00929
Ivory Coast,614,0.00614
Egypt,594,0.00594
Uzbekistan,310,0.0031
Panama,292,0.00292
Tunisia,218,0.00218
Saudi Arabia,167,0.00167
Jordan,162,0.00162
South Africa,154,0.00154
New Zealand,151,0.00151
Iraq,95,0.00095
Congo DR,81,0.00081
Ghana,60,0.0006
Bosnia and Herzegovina,39,0.00039
Haiti,33,0.00033
Qatar,32,0.00032
Cabo Verde,7,7e-05
Curacao,4,4e-05
